current_speed,current_delay,distance_remaining,historical_delay,previous_station_delay,section_average_speed,weather_factor,congestion_factor,signal_halt_minutes,eta_minutes
60.696,0.0,92.061,20.082,6.244,64.087,1.55,1.08,1.646,164.887
61.371,0.0,173.854,5.17,15.817,87.697,1.0,1.0,0.0,175.529
45.498,25.671,149.87,15.561,5.259,95.361,1.0,1.0,4.958,227.469
37.275,11.499,144.014,0.0,15.425,53.788,1.08,1.0,7.84,270.252
28.133,8.785,88.967,0.0,0.759,86.805,1.18,0.85,0.321,198.522
49.09,23.099,86.24,0.0,3.78,77.801,1.08,1.0,1.989,131.56
43.883,17.056,36.28,13.765,5.294,47.843,1.0,1.0,1.096,65.156
69.841,0.0,19.894,8.977,9.048,58.395,1.0,0.85,0.629,21.303
112.558,22.127,126.14,18.485,0.0,75.968,1.0,1.0,2.756,119.686
24.881,10.333,87.036,10.544,0.0,101.169,1.0,1.08,3.76,240.42
73.47,20.509,178.917,16.216,0.0,59.749,1.0,1.0,0.09,194.769
101.716,11.308,56.358,0.0,0.0,104.352,1.08,1.35,3.247,64.313
82.741,8.652,32.939,7.266,0.0,50.209,1.0,1.0,3.404,49.208
63.133,0.0,166.456,9.638,0.0,84.68,1.08,1.35,0.39,237.508
81.525,13.428,149.14,9.09,1.467,99.047,1.0,1.0,5.921,128.725
86.475,18.758,91.084,3.726,5.096,101.274,1.0,1.0,1.767,80.74
28.676,0.0,150.801,0.0,13.962,102.524,1.0,0.85,2.341,273.69
81.893,0.0,34.305,0.0,0.65,99.545,1.0,0.85,1.206,24.036
83.663,5.142,60.705,0.812,15.352,95.753,1.0,1.0,1.139,51.067
112.168,16.121,93.598,18.681,4.345,66.271,1.0,1.0,3.297,104.895
91.862,11.632,137.278,16.672,10.789,80.652,1.08,1.0,1.463,128.035
42.733,5.699,100.049,3.65,4.144,50.295,1.55,1.18,1.612,269.671
99.054,0.02,129.555,6.644,13.532,72.394,1.0,1.0,0.0,108.536
68.283,23.083,155.797,4.68,15.457,97.156,1.0,1.35,0.0,207.739
46.87,19.598,106.475,6.936,9.439,59.406,1.0,1.0,4.699,155.744
50.569,5.029,126.155,1.749,3.092,52.262,1.08,0.85,2.236,141.807
97.084,20.092,120.137,0.0,3.353,65.095,1.0,1.08,2.598,139.814
61.829,0.0,83.333,5.584,0.0,74.187,1.08,1.0,0.0,89.807
52.163,19.672,117.671,0.0,8.721,85.026,1.0,1.08,0.917,163.325
23.41,0.0,114.347,31.286,0.0,44.447,1.08,1.0,5.04,329.223
102.895,10.521,125.532,5.6,6.429,68.839,1.0,1.0,0.743,117.452
95.289,5.486,16.056,14.658,0.0,51.049,1.0,1.18,4.202,36.027
44.128,15.242,3.673,0.0,3.454,56.596,1.0,1.0,1.341,15.269
60.309,0.536,152.464,9.473,10.615,56.256,1.0,1.0,0.0,165.987
114.306,3.633,176.074,1.628,0.0,59.19,1.08,0.85,1.003,166.518
105.895,0.736,144.197,1.168,1.515,58.603,1.08,1.08,1.039,172.98
82.622,19.843,113.828,0.421,2.659,94.492,1.0,1.08,4.791,110.21
91.011,12.487,25.524,0.0,1.078,51.417,1.0,1.18,3.501,47.783
98.346,7.803,145.555,0.0,16.541,71.32,1.0,1.35,6.589,185.838
113.095,0.0,145.217,0.0,12.925,102.873,1.0,1.0,0.0,88.295
83.872,12.456,148.39,5.596,5.137,77.996,1.35,1.0,2.993,171.252
26.006,4.409,163.871,4.36,10.819,93.551,1.0,1.35,1.992,523.691
29.233,0.0,26.148,10.423,4.375,97.672,1.0,1.08,0.0,62.572
29.407,16.545,74.645,8.968,4.536,71.808,1.0,1.0,6.62,171.7
29.439,17.334,98.915,5.954,1.878,84.569,1.0,1.18,3.532,253.768
80.962,12.139,5.802,8.37,0.636,78.814,1.0,1.0,5.902,21.5
39.68,5.323,156.806,10.981,5.367,54.037,1.18,1.0,2.403,291.161
36.577,13.538,6.589,21.072,5.988,82.969,1.0,1.0,2.831,28.48
90.463,0.0,134.728,9.064,2.127,74.196,1.0,1.35,2.762,158.127
102.363,12.706,83.532,9.762,4.524,73.894,1.0,1.0,1.502,78.796
106.422,5.135,16.381,5.145,3.67,44.777,1.0,1.0,5.577,34.964
63.103,7.585,19.654,2.328,0.0,79.353,1.08,1.18,2.401,32.741
62.898,0.0,62.33,9.39,10.233,54.852,1.08,1.0,3.806,84.282
26.378,26.538,18.595,17.769,10.606,94.065,1.18,1.0,0.082,73.634
51.316,0.0,64.94,0.0,11.479,47.945,1.55,1.08,0.0,141.73
40.21,18.546,41.916,19.02,12.289,82.688,1.0,1.18,0.0,92.695
100.29,0.0,147.68,0.0,18.616,103.346,1.18,1.0,3.331,114.129
49.354,22.111,3.087,14.072,0.0,62.089,1.0,1.0,2.132,23.12
90.881,2.803,76.73,13.47,3.155,53.984,1.0,0.85,0.0,78.511
78.695,9.9,50.434,2.152,0.0,83.808,1.0,1.0,2.534,47.221
60.842,0.0,122.771,7.995,10.774,58.411,1.0,0.85,2.971,113.581
33.037,14.532,60.406,20.248,5.483,56.609,1.0,1.0,1.756,124.163
99.169,9.899,14.829,5.204,18.431,92.403,1.18,1.0,3.083,24.893
59.681,1.003,5.712,0.489,14.618,47.486,1.0,1.18,3.507,17.257
100.226,0.0,106.819,5.796,2.98,55.816,1.0,1.0,4.362,120.004
68.445,7.676,64.189,4.905,0.0,98.885,1.18,1.0,3.383,78.092
77.228,15.609,118.681,19.356,0.0,89.414,1.08,1.0,2.636,118.938
80.353,2.085,155.836,3.809,2.539,80.594,1.0,1.0,1.926,122.315
25.336,4.732,57.253,7.815,6.177,72.977,1.18,1.18,1.914,197.957
63.958,0.134,142.944,13.939,1.009,76.031,1.18,1.08,1.494,179.033
34.332,15.392,20.423,2.654,3.419,44.022,1.0,1.0,0.0,45.599
69.661,12.101,68.368,5.317,11.02,50.319,1.0,1.08,3.355,101.209
26.262,4.585,122.752,19.538,0.0,46.143,1.18,1.0,0.0,337.964
53.233,5.257,126.329,0.0,10.066,102.9,1.35,1.0,0.0,202.694
97.253,6.928,149.555,0.0,0.0,83.558,1.0,1.0,1.977,113.341
40.348,12.792,88.556,7.639,8.229,101.598,1.0,1.18,5.719,176.449
99.336,0.0,8.719,18.664,8.966,97.439,1.0,1.18,4.249,17.969
35.726,0.0,75.133,4.37,1.046,68.449,1.0,1.0,2.478,127.711
70.731,0.0,145.935,9.938,0.0,60.115,1.55,1.0,6.438,237.492
70.109,17.614,147.407,8.382,1.893,102.807,1.0,1.08,4.547,153.787
29.746,4.291,153.508,20.249,3.141,94.983,1.0,1.0,7.228,325.322
62.857,5.659,6.747,15.923,7.327,62.723,1.0,1.35,2.478,22.972
108.428,9.399,117.693,2.793,2.407,94.546,1.08,1.0,6.529,94.635
20.499,0.0,47.554,12.136,0.0,45.15,1.08,1.0,3.889,157.914
48.609,11.01,76.729,0.0,14.989,43.104,1.0,0.85,5.413,105.65
33.64,7.282,111.436,7.492,11.218,67.901,1.08,0.85,3.163,194.844
69.976,0.0,177.923,4.344,0.0,72.976,1.55,1.0,3.083,247.337
52.756,9.796,113.83,8.756,0.0,87.641,1.0,0.85,0.0,117.337
36.633,3.245,84.703,0.0,5.816,90.644,1.08,1.0,1.764,155.494
38.95,10.882,168.14,0.0,3.259,42.724,1.0,1.0,2.53,268.486
53.913,5.462,156.112,10.59,0.0,90.755,1.08,1.18,6.085,231.623
67.139,25.631,166.527,0.0,3.697,72.339,1.08,0.85,0.0,153.41
71.82,3.457,16.252,1.2,0.0,60.879,1.08,1.0,1.106,25.041
53.493,13.313,50.871,26.294,3.174,104.88,1.0,1.08,0.0,79.277
84.544,0.0,27.415,0.0,7.185,101.931,1.08,1.0,2.678,24.105
77.484,16.689,170.891,0.0,12.334,84.139,1.0,1.0,0.0,147.95
43.713,0.0,132.95,7.048,0.672,47.374,1.0,1.0,1.852,187.23
107.065,7.813,23.829,12.283,0.0,71.928,1.35,1.0,5.336,43.572
100.325,19.474,63.842,10.968,14.089,60.773,1.08,1.35,0.14,111.989
68.332,0.0,37.775,16.091,13.124,47.889,1.0,1.0,0.0,55.495
72.406,0.0,17.346,36.452,3.576,79.777,1.08,1.18,0.044,32.205
81.022,19.976,123.059,0.0,15.199,69.248,1.18,1.08,4.955,164.009
61.099,12.097,11.863,10.243,7.706,99.196,1.08,1.0,4.169,32.637
100.364,0.298,115.04,3.072,4.026,56.289,1.0,1.0,1.163,125.41
109.453,5.499,119.254,0.0,9.243,50.023,1.18,0.85,0.0,152.976
74.793,12.036,138.519,0.0,9.286,82.323,1.0,1.08,1.22,136.549
65.88,6.857,123.928,9.977,11.005,92.305,1.0,1.0,3.37,123.896
88.244,2.622,155.218,11.185,4.51,87.723,1.0,1.0,1.462,114.246
45.41,5.539,19.232,14.627,1.607,56.115,1.18,1.0,1.398,38.291
49.708,19.606,90.691,0.0,4.349,89.603,1.0,0.85,4.808,111.425
111.835,19.103,64.815,9.919,11.462,53.984,1.0,1.0,0.34,90.771
103.833,0.0,137.967,1.612,9.53,87.288,1.0,1.0,1.688,98.679
67.904,23.069,51.79,6.172,16.969,89.686,1.0,1.18,6.74,80.629
91.722,28.039,92.624,4.564,4.999,52.939,1.0,1.0,0.102,126.395
77.595,3.485,60.378,3.893,14.822,73.508,1.0,1.0,2.287,58.95
87.33,0.0,147.203,0.0,11.61,59.486,1.55,1.08,3.604,256.505
85.364,25.105,86.477,4.128,6.289,41.732,1.08,1.08,0.0,166.713
78.875,20.363,28.304,6.146,3.622,94.676,1.35,1.0,4.395,51.847
34.386,11.517,75.047,0.0,11.827,84.883,1.0,1.0,0.0,141.806
82.912,16.55,57.848,15.189,16.721,74.156,1.0,1.0,2.984,64.608
81.114,10.67,110.594,12.627,1.0,85.065,1.55,1.0,1.94,142.039
86.974,14.612,64.087,20.033,0.675,60.608,1.0,1.0,1.543,77.103
113.115,10.787,171.92,0.759,2.776,93.195,1.0,1.0,5.885,124.569
39.196,19.411,168.078,5.558,1.924,75.008,1.0,1.08,2.735,298.624
70.449,0.0,11.343,13.59,13.311,81.466,1.0,1.0,4.73,21.426
108.828,3.596,86.986,13.439,19.692,97.096,1.0,1.08,3.378,70.92
74.543,28.384,130.715,0.146,10.63,74.785,1.0,1.18,6.735,155.983
67.061,7.821,173.259,21.634,0.0,100.88,1.0,1.0,7.406,174.842
47.033,0.0,98.707,7.723,8.999,104.291,1.0,1.0,0.51,130.842
44.44,17.45,133.118,9.625,0.0,52.103,1.08,1.0,5.402,210.649
98.564,4.894,17.439,2.53,8.366,73.493,1.0,1.0,4.004,24.139
110.633,24.673,130.673,18.62,5.627,59.626,1.08,0.85,3.737,147.416
58.515,5.517,161.331,0.387,14.885,72.664,1.0,1.08,5.875,192.537
34.553,13.254,109.822,0.0,8.821,88.603,1.0,1.0,1.706,202.279
43.509,17.473,157.418,11.283,4.307,89.058,1.0,0.85,1.5,198.839
74.407,4.5,60.405,3.055,4.62,49.74,1.0,1.08,4.792,89.994
96.826,4.677,93.358,7.74,0.0,69.473,1.08,1.0,3.434,96.855
74.94,0.0,63.326,30.612,12.5,42.944,1.35,0.85,2.861,114.914
58.842,22.276,138.317,5.436,0.0,89.983,1.0,1.18,5.998,191.625
84.859,2.634,97.995,2.787,0.441,83.017,1.0,1.0,0.0,72.692
41.156,3.523,6.047,18.421,0.0,40.226,1.18,1.0,1.753,18.546
109.054,14.609,22.086,10.045,0.0,87.127,1.08,1.18,4.167,37.593
29.585,7.086,108.406,4.581,4.638,42.182,1.0,1.0,0.272,227.189
67.87,5.425,147.21,6.188,0.0,58.802,1.0,1.08,1.779,170.905
33.61,6.893,41.346,9.696,16.708,82.914,1.35,1.08,1.141,120.145
112.368,13.167,121.499,8.564,0.0,101.203,1.0,1.0,0.0,84.641
64.984,3.231,55.531,0.0,11.633,95.207,1.55,1.0,1.056,90.028
39.317,13.567,166.156,9.02,2.834,82.036,1.08,1.0,2.119,290.676
77.278,9.179,35.493,0.0,0.0,96.785,1.18,1.0,1.592,41.916
109.03,7.531,22.882,16.134,4.982,102.535,1.0,1.08,3.958,32.096
72.448,0.0,69.758,5.416,4.478,90.408,1.0,0.85,4.981,58.061
99.774,6.681,67.985,0.0,8.972,99.431,1.0,1.0,2.152,53.89
75.019,3.298,29.129,13.856,8.53,67.143,1.08,1.08,0.339,38.441
111.818,26.547,89.326,13.999,14.303,81.71,1.0,1.08,0.0,95.573
71.503,26.931,12.454,10.268,13.389,81.718,1.08,1.0,1.397,37.068
87.181,1.937,92.02,0.0,10.951,40.594,1.08,1.08,0.049,163.917
20.628,0.121,4.109,5.822,6.105,75.857,1.18,1.08,2.522,22.038
30.167,0.0,28.504,10.49,11.853,46.26,1.18,1.0,0.805,74.508
58.573,10.294,178.261,19.004,10.041,76.725,1.18,1.08,0.0,248.785
72.507,13.413,3.682,11.465,11.219,43.647,1.0,1.18,0.0,19.815
29.059,12.832,9.574,22.632,10.185,74.33,1.0,0.85,0.727,36.014
73.533,0.0,167.32,0.0,19.072,42.139,1.0,1.08,2.065,262.519
27.309,13.035,44.804,0.154,9.288,50.559,1.08,1.0,1.304,121.994
67.575,6.839,11.558,0.0,9.413,103.331,1.0,1.18,4.803,24.748
93.488,19.602,50.652,6.567,0.0,41.926,1.0,1.08,6.701,99.815
78.769,4.416,128.933,11.029,6.712,91.874,1.08,1.08,2.455,123.187
30.122,2.949,56.872,11.89,7.601,40.338,1.0,1.0,3.548,122.299
53.622,9.26,108.452,3.443,10.283,46.049,1.0,1.0,6.578,159.03
105.995,12.739,103.809,13.853,8.266,103.581,1.0,0.85,3.776,66.137
66.002,12.172,46.803,7.24,13.402,45.0,1.0,1.0,3.968,79.855
110.138,10.98,112.394,0.255,0.0,61.594,1.18,1.35,6.335,193.706
109.991,14.637,57.925,27.54,1.513,53.055,1.0,1.08,0.0,86.844
43.03,4.154,147.336,9.451,0.0,64.444,1.0,1.08,1.429,224.318
63.854,0.344,80.045,3.844,13.91,86.044,1.18,1.18,0.503,113.24
80.167,4.177,119.242,0.0,21.406,55.731,1.0,1.0,5.516,137.395
85.712,7.066,142.748,0.0,14.85,75.337,1.0,1.08,5.822,138.964
82.472,35.57,117.166,13.302,2.333,63.076,1.08,1.35,0.854,193.921
44.58,8.616,94.346,0.0,1.195,73.194,1.0,1.0,2.91,133.636
67.544,16.213,6.372,12.067,7.895,62.423,1.35,1.0,2.24,27.14
39.652,18.2,86.757,0.0,8.511,71.39,1.0,1.0,2.902,147.599
100.672,22.728,122.531,26.74,5.142,82.118,1.0,1.0,3.861,116.052
58.48,6.126,116.005,5.227,5.604,51.989,1.0,1.0,0.673,139.914
86.95,9.297,135.914,4.318,14.763,53.376,1.0,1.0,5.162,166.935
101.95,10.056,115.761,0.0,0.28,74.301,1.0,1.0,4.222,102.543
97.305,4.834,54.945,4.782,7.002,85.889,1.0,1.0,3.322,46.644
59.733,0.0,70.3,11.464,12.839,48.961,1.08,1.08,5.379,112.031
66.516,4.836,57.995,7.805,4.473,49.119,1.0,1.18,2.916,95.889
67.022,5.326,75.982,11.96,0.0,84.505,1.0,0.85,2.477,64.577
46.111,0.0,31.941,10.492,5.757,74.945,1.0,1.0,0.0,45.244
54.852,0.0,9.407,5.052,0.0,93.47,1.55,1.0,4.27,22.347
48.282,0.0,82.052,19.0,0.0,104.955,1.08,1.0,5.127,120.122
53.31,0.0,114.633,9.207,7.838,86.199,1.0,1.0,4.404,137.415
46.703,5.647,59.61,0.662,3.711,75.02,1.55,1.08,6.901,148.261
94.641,22.45,178.663,9.796,2.682,99.72,1.18,1.0,1.508,150.762
92.34,1.006,89.124,4.041,0.0,83.955,1.08,1.18,3.918,90.488
46.431,14.648,67.695,13.778,3.357,100.862,1.0,1.18,2.294,117.416
63.553,19.399,65.764,10.833,6.276,83.169,1.0,1.0,4.784,84.166
74.904,0.0,88.39,0.268,12.558,76.799,1.0,0.85,2.866,63.907
31.803,33.182,80.549,7.086,7.705,95.747,1.0,1.08,5.791,198.433
46.032,27.536,46.569,0.0,14.361,82.548,1.0,1.0,1.334,86.542
42.244,19.382,127.258,7.062,7.888,82.607,1.08,0.85,3.517,185.078
113.875,0.0,25.527,14.097,7.539,67.45,1.08,1.0,0.741,33.444
33.027,29.088,136.062,25.692,9.6,90.275,1.0,1.08,4.695,296.207
79.668,13.885,75.284,0.844,0.0,49.839,1.0,1.0,2.545,100.369
56.483,13.14,57.982,11.96,11.576,102.611,1.0,1.08,3.991,85.364
100.55,0.0,55.694,0.0,4.203,82.796,1.08,1.0,6.926,53.292
110.694,0.0,22.068,7.028,0.0,72.168,1.55,1.35,1.777,50.849
73.996,22.645,123.564,8.588,0.0,63.752,1.08,0.85,3.913,128.752
23.784,0.0,142.494,6.532,0.0,43.93,1.08,0.85,2.335,331.645
46.359,4.849,93.012,11.213,15.433,60.144,1.0,1.0,0.0,126.54
84.7,5.569,126.364,0.0,7.381,44.297,1.0,1.0,2.832,178.2
90.461,2.565,23.261,3.748,0.0,88.143,1.0,1.35,0.0,26.492
88.473,9.537,24.594,0.791,12.793,50.853,1.0,1.18,0.206,45.419
87.671,11.599,15.718,0.0,6.575,77.482,1.0,1.0,1.362,23.888
29.776,9.613,130.655,16.452,16.507,77.304,1.0,1.0,3.698,279.342
108.46,11.825,100.41,18.269,0.0,95.737,1.0,1.0,0.0,75.702
45.77,0.0,68.36,6.779,9.655,45.063,1.55,1.35,6.439,209.069
46.819,12.695,60.26,6.044,4.751,94.915,1.0,1.0,1.479,91.839
64.073,8.934,89.818,1.778,13.223,78.46,1.0,0.85,0.172,79.861
52.91,11.901,158.141,7.412,4.902,94.572,1.08,1.18,2.533,242.924
70.332,39.663,89.581,17.01,4.367,55.481,1.35,1.18,1.736,188.351
55.387,6.076,17.113,10.534,6.815,103.346,1.18,0.85,0.209,26.795
111.601,0.865,48.456,20.189,2.019,55.39,1.0,1.0,0.0,58.236
94.094,11.044,29.663,11.592,10.772,78.006,1.0,1.0,3.964,38.476
49.289,16.348,23.345,17.183,9.28,57.226,1.0,1.18,0.0,51.034
43.581,11.862,93.396,4.257,0.821,63.123,1.55,0.85,0.359,183.746
91.067,9.823,84.244,2.859,16.27,56.24,1.55,1.0,2.811,157.517
79.878,0.0,105.654,6.189,15.966,81.905,1.0,0.85,4.298,75.261
32.235,6.552,149.625,9.06,1.47,98.83,1.0,1.18,3.004,339.316
84.905,9.499,40.219,9.494,9.488,51.232,1.35,0.85,1.14,66.975
48.035,15.514,100.023,9.423,7.604,66.779,1.35,1.0,3.614,186.441
95.51,0.0,141.181,0.648,10.825,104.311,1.0,1.18,0.499,109.245
37.083,21.771,40.986,0.0,22.293,60.727,1.0,1.18,5.126,109.569
29.513,7.933,49.442,14.225,0.0,82.696,1.0,1.35,3.664,153.886
95.752,11.506,151.382,2.886,0.0,63.062,1.08,1.18,0.491,197.319
110.018,10.738,102.233,16.004,21.519,76.634,1.35,1.0,1.574,128.946
28.574,7.635,40.948,6.951,8.501,55.121,1.0,1.08,1.852,106.775
50.741,0.0,106.416,18.979,0.0,41.424,1.18,1.18,4.743,225.231
109.483,6.269,19.984,11.106,13.028,65.714,1.18,1.35,7.332,49.277
112.031,3.013,167.334,8.31,0.85,85.081,1.0,1.0,1.326,125.639
32.098,17.456,170.884,4.474,20.538,87.374,1.0,1.08,2.375,369.417
40.985,0.0,168.73,15.393,12.672,76.761,1.0,1.35,5.109,350.543
28.429,16.235,115.76,1.313,4.566,86.083,1.0,1.0,4.159,260.825
56.664,8.318,174.5,13.978,0.36,87.618,1.0,1.0,4.521,198.769
102.085,10.041,124.315,9.671,7.839,82.313,1.0,1.35,1.334,138.091
55.668,10.745,99.374,9.837,3.416,87.579,1.0,1.08,2.031,128.304
109.532,10.547,160.376,10.085,6.074,50.725,1.08,1.08,3.953,236.646
46.745,0.21,10.835,0.0,0.0,55.441,1.0,1.0,0.849,15.56
82.892,14.041,37.542,7.788,4.356,79.014,1.18,1.0,3.378,48.518
82.799,14.96,98.854,13.626,16.46,45.924,1.0,1.0,2.295,149.702
41.493,8.208,12.972,0.0,9.728,57.457,1.0,1.35,3.886,38.148
99.876,1.213,76.517,0.0,2.333,93.196,1.0,1.18,1.798,62.993
105.764,22.555,91.374,0.0,1.328,86.43,1.0,1.08,0.0,87.275
112.356,33.519,24.461,0.0,13.285,92.55,1.0,1.35,0.0,47.828
44.499,17.046,164.723,10.241,0.74,99.202,1.0,1.0,3.675,241.59
79.191,0.0,76.688,3.108,6.74,73.967,1.0,1.08,7.231,75.661
73.455,0.0,52.925,5.369,0.004,46.564,1.0,1.08,3.728,80.472
33.666,9.872,125.472,23.298,8.039,79.563,1.0,1.0,2.368,234.608
105.218,5.346,147.495,13.132,0.0,41.315,1.0,1.18,2.859,266.467
62.096,28.22,49.957,0.0,9.316,93.679,1.0,1.0,4.121,70.986
92.152,2.143,148.141,6.549,2.327,96.367,1.0,1.18,5.105,124.006
38.313,6.333,150.982,7.028,11.625,94.14,1.35,1.08,1.965,361.32
67.987,17.476,24.049,8.474,1.884,81.302,1.18,1.08,1.814,44.034
104.977,12.84,124.615,5.271,10.788,88.682,1.0,1.0,6.735,102.323
81.501,6.304,49.897,7.867,6.94,84.05,1.0,1.18,0.0,50.728
20.804,0.0,145.305,0.0,19.732,56.405,1.08,1.0,1.046,459.708
43.94,12.529,122.541,0.0,10.749,70.335,1.08,1.18,4.259,228.739
77.86,18.258,21.243,28.98,11.991,59.401,1.08,1.18,2.437,55.062
104.776,10.082,28.687,0.0,8.687,59.421,1.0,1.08,0.0,39.558
82.263,0.0,48.178,0.084,7.913,104.835,1.0,1.08,1.296,41.211
89.022,12.736,97.165,0.0,1.634,54.454,1.18,1.18,0.371,162.156
29.272,3.572,48.04,11.865,0.0,48.316,1.0,1.08,2.092,114.392
53.752,10.127,56.661,0.027,4.668,88.374,1.18,1.0,4.332,89.733
109.709,0.0,160.318,0.0,4.964,44.629,1.0,1.0,6.571,224.374
33.05,0.0,74.836,0.0,0.0,53.019,1.08,1.18,3.185,175.973
36.798,9.101,2.839,5.006,15.044,81.242,1.0,1.18,0.0,17.681
28.364,0.0,114.761,18.832,3.764,79.941,1.0,1.0,2.908,251.468
99.157,8.779,122.461,2.766,1.757,52.387,1.08,1.0,3.992,164.165
75.924,5.527,148.644,13.33,3.878,50.856,1.0,1.18,0.0,217.216
105.631,7.739,35.54,23.957,0.698,63.351,1.0,1.0,2.333,44.777
89.737,0.0,32.079,15.625,16.936,78.33,1.0,1.0,3.547,40.213
82.887,17.727,5.514,3.93,0.0,82.482,1.0,1.0,1.248,18.187
86.043,0.233,55.599,0.0,3.975,80.97,1.0,1.18,5.658,59.192
31.185,17.756,20.915,8.693,8.799,47.411,1.0,1.0,3.526,62.019
48.058,14.11,90.351,24.954,4.784,42.561,1.08,1.18,2.822,183.829
34.169,0.0,93.084,6.389,2.265,45.855,1.0,1.0,4.339,169.334
64.106,16.033,33.097,8.626,6.655,46.488,1.08,0.85,0.544,54.266
100.94,4.939,32.351,1.631,10.024,83.118,1.08,1.18,6.051,45.673
37.373,6.65,173.291,14.824,11.363,66.051,1.08,1.18,0.0,368.529
25.571,18.066,30.372,0.0,9.038,101.26,1.18,1.08,3.48,112.151
